DateTime,AddedIPs,RemovedIPs
1553796681,2,0
1553800288,4,1
1553803887,3,3
1553807499,2,2
1553811079,2,2
1553814721,2,5
1553818461,50,1
1553821932,8,3
1553825509,4,2
1553829129,7,37
1553832706,10,8
1553836301,3,9
1553839933,8,6
1553843501,3,3
1553847131,4,3
1553850684,2,0
1553854321,2,3
1553857914,1,3
1553861529,4,3
1553865066,3,1
1553868724,1,2
1553872312,2,1
1553875894,1,1
1553879500,4,2
1553883099,0,1
1553886730,1,2
1553890330,2,4
1553893876,1,3
1553897523,0,2
1553901122,4,10
1553904731,15,0
1553908328,8,8
1553911907,6,4
1553915497,4,12
1553919068,4,15
1553922671,0,3
1553926329,2,3
1553929858,1,3
1553933485,2,1
1553937070,0,1
1553940707,0,3
1553944277,2,0
1553947889,1,2
1553951492,5,1
1553955105,1,1
1553958642,5,2
1553962284,1,2
1553965903,2,0
1553969495,0,3
1553973107,1,3
1553976676,2,4
1553980317,2,0
1553983892,3,2
1553987493,5,2
1553991180,32,1
1553994695,1,0
1553998280,1,4
1554001883,0,11
1554005508,1,2
1554009091,0,1
1554012668,2,2
1554016313,2,0
1554019887,0,3
1554023495,2,1
1554027087,2,0
1554031039,0,1
1554034286,0,1
1554037886,4,2
1554041503,1,1
1554045140,2,1
1554048673,3,2
1554052280,0,2
1554055891,0,3
1554059493,1,2
1554063076,1,1
1554066681,3,2
1554070331,0,2
1554073908,2,0
1554077600,28,4
1554081119,7,4
1554084727,4,3
1554088292,5,27
1554091958,7,5
1554095501,7,2
1554099174,4,5
1554102688,2,2
1554106307,4,3
1554109867,1,5
1554113506,3,3
1554117093,3,4
1554120716,2,7
1554124273,7,5
1554127891,3,7
1554131533,7,3
1554135095,6,4
1554138696,4,2
1554142290,4,3
1554145899,4,4
1554149490,2,5
1554153090,5,3
1554156729,5,7
1554160276,5,3
1554163930,10,3
1554167482,2,0
1554171128,2,7
1554174699,6,13
1554178326,11,8
1554181881,6,9
1554185481,6,3
1554189129,5,6
1554192673,1,7
1554196328,2,4
1554199899,6,3
1554203481,2,3
1554207097,0,4
1554210683,3,1
1554214298,3,10
1554217910,10,4
1554221486,0,3
1554225086,8,1
1554228704,1,1
1554232278,0,3
1554235913,3,0
1554239474,0,9
1554243100,4,2
1554246686,2,2
1554250331,6,7
1554253865,18,1
1554257481,4,1
1554261069,4,18
1554264653,3,21
1554268242,3,2
1554271874,1,3
1554275477,1,2
1554282669,4,2
1554286275,0,3
1554289884,2,3
1554293449,1,0
1554297074,0,1
1554300677,1,0
1554304297,1,1
1554307872,1,9
1554311500,7,2
1554315067,4,1
1554318687,3,1
1554322341,2,0
1554325870,0,10
1554329469,3,6
1554333075,2,6
1554336659,10,0
1554340291,17,2
1554343860,5,3
1554347459,8,7
1554351081,4,21
1554354676,0,3
1554358276,2,2
1554361896,2,9
1554365482,3,3
1554369081,1,2
1554372708,3,4
1554376266,4,4
1554379904,2,1
1554383487,3,0
1554387108,1,3
1554390680,2,5
1554394316,5,2
1554397854,1,3
1554401452,2,2
1554405066,2,4
1554408671,1,2
1554412290,2,1
1554419476,1,3
1554423129,12,1
1554426672,17,2
1554430308,6,0
1554433906,7,9
1554437489,4,10
1554441110,3,4
1554444706,4,0
1554448339,2,1
1554451895,0,3
1554455512,3,2
1554459092,2,0
1554462720,2,0
1554466308,0,2
1554469892,1,0
1554473502,3,2
1554477100,0,1
1554480680,1,3
1554484267,2,0
1554487868,0,2
1554491498,0,2
1554495097,2,3
1554498676,4,0
1554502300,4,1
1554505929,13,1
1554509506,11,0
1554513085,7,0
1554520312,1,24
1554523853,14,27
1554527483,1,6
1554531066,3,3
1554534707,0,2
1554538263,2,2
1554541872,1,2
1554545467,1,3
1554549103,3,9
1554552649,8,0
1554556285,0,1
1554559886,2,1
1554563477,1,0
1554567092,1,4
1554570697,1,0
1554574278,2,6
1554577877,5,1
1554581457,1,2
1554585061,1,0
1554588665,1,1
1554595933,7,0
1554599534,19,1
1554603085,2,2
1554606683,3,2
1554610275,2,14
1554613883,1,3
1554617503,1,3
1554621086,4,2
1554624668,2,1
1554628260,2,5
1554631871,6,2
1554635474,1,3
1554639064,3,1
1554642696,2,2
1554646287,2,1
1554649864,2,1
1554653465,4,3
1554657078,1,4
1554660671,2,1
1554664280,1,3
1554667875,3,1
1554671471,0,2
1554675064,2,2
1554678704,1,1
1554682302,2,3
1554685897,18,1
1554689500,2,0
1554693050,3,2
1554696679,3,16
1554700274,4,2
1554703901,2,10
1554707490,5,3
1554711103,2,2
1554714674,1,4
1554718288,5,4
1554721895,2,1
1554725489,1,2
1554729081,2,4
1554732711,5,1
1554736277,1,3
1554739914,3,2
1554743487,0,3
1554747081,2,5
1554750677,2,3
1554754281,2,4
1554757883,4,2
1554761490,3,10
1554765078,8,1
1554768730,6,1
1554772346,24,2
1554775925,13,2
1554779530,3,8
1554783093,7,16
1554786726,7,2
1554790311,1,15
1554793925,5,9
1554797527,5,4
1554801123,16,2
1554804708,3,1
1554808307,5,4
1554811916,3,2
1554815517,2,1
1554819109,2,1
1554822700,2,4
1554826301,2,2
1554829902,4,4
1554833519,1,5
1554837081,4,2
1554840695,2,6
1554844321,6,3
1554847935,2,6
1554851510,3,1
1554855130,3,1
1554858734,13,11
1554862326,10,2
1554865913,2,17
1554869488,1,28
1554873123,3,2
1554876720,0,4
1554880298,5,1
1554883920,0,1
1554887530,2,2
1554891086,3,1
