DateTime,AddedIPs,RemovedIPs
1553429139,0,2
1553432750,1,1
1553436342,2,2
1553439944,2,2
1553443548,3,1
1553447130,1,1
1553450743,1,2
1553454333,2,2
1553457946,0,1
1553461551,2,1
1553465135,3,2
1553472385,0,1
1553475935,0,1
1553479553,3,0
1553483160,2,0
1553486746,2,0
1553490356,1,3
1553493950,1,4
1553497541,5,2
1553501150,2,2
1553504751,1,2
1553508336,0,3
1553511950,2,1
1553515546,3,2
1553519145,2,2
1553522749,1,0
1553526350,1,1
1553529947,1,2
1553533553,2,1
1553537153,0,2
1553540754,2,4
1553544344,2,3
1553547943,4,1
1553551537,1,2
1553555139,1,3
1553558785,3,4
1553562349,6,3
1553565957,2,1
1553569562,2,2
1553573142,3,0
1553576749,0,1
1553580335,1,0
1553583950,0,1
1553587555,1,3
1553591147,1,2
1553594742,1,2
1553598345,2,2
1553601955,2,3
1553605540,4,0
1553609134,1,1
1553612753,3,3
1553616347,1,3
1553619939,2,2
1553623550,2,1
1553627143,0,2
1553634342,2,2
1553637955,2,2
1553641551,2,3
1553645180,1,0
1553648753,3,0
1553652351,0,3
1553655950,4,0
1553659544,1,1
1553663135,2,3
1553666756,0,4
1553670349,3,3
1553673952,6,1
1553677543,2,1
1553681157,0,2
1553684734,1,1
1553688357,2,1
1553691940,0,1
1553695537,2,2
1553702743,0,2
1553706343,1,1
1553709951,2,3
1553713546,1,3
1553717143,4,1
1553720750,1,1
1553724347,1,1
1553727948,1,2
1553731583,1,2
1553735148,2,0
1553738742,2,2
1553742347,1,1
1553745925,3,1
1553749539,1,1
1553753148,2,3
1553756756,0,2
1553760352,2,0
1553763948,1,3
1553767546,3,0
1553771145,1,2
1553774740,1,2
1553778361,1,2
1553781953,2,0
1553785540,2,0
1553789151,0,5
1553792748,3,1
1553796346,1,0
1553799939,3,1
1553803543,1,1
1553807155,1,3
1553810742,2,2
1553814351,1,4
1553817998,3,1
1553821556,3,1
1553825165,1,1
1553828781,2,2
1553832349,1,3
1553835950,1,3
1553839564,4,1
1553843151,2,0
1553846749,2,4
1553850355,2,0
1553853965,1,1
1553857556,0,3
1553861154,3,1
1553864756,3,1
1553875554,1,1
1553879161,1,0
1553886352,0,1
1553889968,1,3
1553893544,1,3
1553897151,0,1
1553900769,3,2
1553904377,2,0
1553907948,2,4
1553911550,5,1
1553915152,3,2
1553918742,4,1
1553922358,0,2
1553925956,1,1
1553929556,0,4
1553933152,2,0
1553936739,0,2
1553940361,2,2
1553943951,0,1
1553947555,2,2
1553951152,3,0
1553954743,0,1
1553958336,3,0
1553961961,1,1
1553965554,1,0
1553969148,1,2
1553972752,1,1
1553976342,1,4
1553983552,1,1
1553987149,4,2
1553990786,1,1
1553994354,3,0
1553997953,0,2
1554001563,1,1
1554005144,0,1
1554008754,0,1
1554012346,2,1
1554015947,1,0
1554019553,0,2
1554023158,1,1
1554026749,2,0
1554030347,0,1
1554033940,0,1
1554037560,2,2
1554041140,2,0
1554044746,1,1
1554048346,2,2
1554051952,0,1
1554055554,1,3
1554059150,1,1
1554062752,0,1
1554066354,2,3
1554069959,1,2
1554073570,1,0
1554077180,2,4
1554080758,5,0
1554084362,0,2
1554087953,1,0
1554091546,2,4
1554095153,5,3
1554098746,1,1
1554102359,2,0
1554105944,4,3
1554109542,1,2
1554113150,3,3
1554116754,1,4
1554120340,2,4
1554123954,5,2
1554127547,2,3
1554131162,0,1
1554134740,2,3
1554138352,4,1
1554141944,1,3
1554145554,3,1
1554149158,1,4
1554152757,6,1
1554156363,3,3
1554159945,1,2
1554163592,4,2
1554167155,0,2
1554170757,0,4
1554174361,2,1
1554177956,5,3
1554181556,1,2
1554185131,1,1
1554188773,5,3
1554192358,1,3
1554195981,1,0
1554199554,2,1
1554203147,0,4
1554206745,0,2
1554210343,2,1
1554213958,4,4
1554217556,4,3
1554221156,2,1
1554224756,4,1
1554231945,0,2
1554235542,2,2
1554239150,0,2
1554242743,2,1
1554246341,2,0
1554249970,1,2
1554253536,4,0
1554257149,2,2
1554260746,1,2
1554264348,1,1
1554267940,1,1
1554271547,1,1
1554275140,1,2
1554278739,0,1
1554282341,3,2
1554285939,1,1
1554289542,1,3
1554293136,2,0
1554296749,1,1
1554303952,1,0
1554307538,1,5
1554311144,3,1
1554314744,3,1
1554318347,1,2
1554321956,3,0
1554325552,0,6
1554329143,3,2
1554332747,0,2
1554336331,3,1
1554339948,3,1
1554343554,2,2
1554347144,4,1
1554350746,1,1
1554354340,0,2
1554357944,1,2
1554361554,2,3
1554365161,3,2
1554368749,1,0
1554372350,1,3
1554375947,2,3
1554379567,1,2
1554383152,4,1
1554386747,0,2
1554390363,1,3
1554393954,3,0
1554397546,0,2
1554401134,2,2
1554404746,2,3
1554408348,1,0
1554411949,1,1
1554415542,1,0
1554419144,0,3
1554422776,3,1
1554426353,1,1
1554429960,1,0
1554437142,0,1
1554440755,0,3
1554444356,1,0
1554447961,2,0
1554451561,0,2
1554455161,1,1
1554458737,1,0
1554462353,1,0
1554465950,0,2
1554469549,1,0
1554473149,4,2
1554480348,1,3
1554483953,2,0
1554487541,0,3
1554491158,0,2
1554494764,2,1
1554498345,4,0
1554501947,3,1
1554505563,0,1
1554509152,2,1
1554516340,1,1
1554519964,0,1
1554523541,1,2
1554527153,0,1
1554530740,2,1
1554534355,0,1
1554537951,1,1
1554541553,1,1
1554545151,1,3
1554548749,3,2
1554552340,2,0
1554559554,1,0
1554563143,0,1
1554566753,1,4
1554570353,2,0
1554573948,2,3
1554577549,2,1
1554581148,1,2
1554584744,2,0
1554588346,1,2
1554602747,1,1
1554606339,1,0
1554609943,0,3
1554613535,1,0
1554617156,0,2
1554620745,4,0
1554624344,0,1
1554627945,1,3
1554631548,4,1
1554635142,1,4
1554638735,2,0
1554642352,3,1
1554645955,2,1
1554649540,0,2
1554653145,3,3
1554656749,1,2
1554660339,2,1
1554663948,0,2
1554667554,3,0
1554671157,0,1
1554674743,1,1
1554678350,2,0
1554681957,0,3
1554685553,4,1
1554689152,1,0
1554692747,1,1
1554696344,1,3
1554699952,2,1
1554703566,0,1
1554707166,2,2
1554714364,0,1
1554717947,2,2
1554721569,2,0
1554725161,2,1
1554728768,1,2
1554732364,1,1
1554735951,0,2
1554739561,2,1
1554743156,0,1
1554746744,1,3
1554750354,3,0
1554753957,1,5
1554757545,3,2
1554761159,0,3
1554764749,1,0
1554768375,1,1
1554771953,2,2
1554775552,3,2
1554779168,2,3
1554782758,2,3
1554786359,3,0
1554789970,1,3
1554793559,2,4
1554797167,2,0
1554800766,3,0
1554804364,2,2
1554807953,0,2
1554811550,3,1
1554815166,1,1
1554818769,1,0
1554822367,0,1
1554825955,2,1
1554829568,1,3
1554833170,1,3
1554836771,3,1
1554840352,1,1
1554843969,1,0
1554847568,0,4
1554851161,1,0
1554854776,1,0
1554858369,2,1
1554861958,2,1
1554865560,3,1
1554869157,1,0
1554872763,2,1
1554876365,0,2
1554879954,1,1
1554883563,0,2
1554887168,1,2
1554890756,3,0
